Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-07-03,429,1,1,718,2800,2800
astro,2017-07-03,440,2,2,1000,3700,3700
astro,2017-07-03,539,1,1,627,2300,2300
astro,2017-07-03,615,1,1,596,2400,2400
astro,2017-08-05,210,1,1,697,2300,2300
astro,2017-08-05,212,0,1,464,1625,1625
astro,2017-08-05,222,1,1,656,2250,2250
astro,2017-08-05,317,1,1,649,2300,2300
astro,2017-08-05,406,0,1,535,1800,1800
astro,2017-08-05,415,1,1,596,2025,2025
astro,2017-08-05,440,2,2,1000,3475,3475
astro,2017-08-05,513,1,1,596,2050,2050
astro,2017-08-05,514,0,1,464,1700,1700
astro,2017-08-05,519,1,1,784,2625,2625
astro,2017-08-05,539,1,1,627,2125,2125
astro,2017-08-05,613,1,1,596,2075,2075
astro,2017-08-05,615,1,1,596,2075,2075
astro,2019-01-30,306,0,1,535,1813,1813
astro,2019-01-30,340,2,2,1000,3000,3000
astro,2019-01-30,405,1,1,627,1925,1925
astro,2019-01-30,625,1,1,649,2155,2155
astro,2017-05-20,233,1,1,679,2400,2400
astro,2017-05-20,533,1,1,679,2600,2600
astro,2016-08-19,202,2,2,962,2830,3000
astro,2016-08-19,208,2,2,1056,3195,3305
astro,2016-08-19,215,1,1,596,1827,1892
astro,2016-08-19,225,1,1,649,2130,2410
astro,2016-08-19,229,1,1,718,2486,2551
astro,2016-08-19,304,1,1,627,1850,2220
astro,2016-08-19,329,1,1,718,2491,2556
astro,2016-08-19,331,1,1,596,1792,2082
astro,2016-08-19,406,0,1,535,1850,1895
astro,2016-08-19,417,1,1,649,Call,Call
astro,2016-08-19,429,1,1,718,2546,2611
astro,2016-08-19,431,1,1,596,1767,2137
astro,2016-08-19,432,1,1,697,2365,2645
astro,2016-08-19,505,1,1,627,2000,2130
astro,2016-08-19,508,2,2,1056,3066,3236
astro,2016-08-19,538,0,1,535,1790,1860
astro,2016-08-19,540,2,2,1000,2872,3042
astro,2016-08-19,641,2,2,962,2900,3070
astro,2018-07-20,241,2,2,962,3176,3176
astro,2018-07-20,335,2,2,1056,3350,3350
astro,2018-07-20,414,0,1,464,1600,1600
astro,2018-07-20,504,1,1,627,1950,1950
astro,2018-07-20,510,1,1,697,2250,2250
astro,2018-07-20,525,1,1,649,2100,2100
astro,2018-07-20,532,1,1,697,2350,2350
astro,2018-07-20,534,1,1,761,2400,2400
astro,2018-07-20,618,1,1,761,2500,2500
astro,2018-07-20,631,1,1,596,1975,1975
astro,2019-02-01,219,1,1,656,2075,2075
astro,2019-02-01,232,1,1,697,2265,2265
astro,2019-02-01,340,2,2,1000,3000,3000
astro,2019-02-01,405,1,1,627,2025,2025
astro,2019-02-01,625,1,1,649,2155,2155
astro,2017-09-27,225,1,1,649,2120,2120
astro,2017-09-27,302,2,2,962,3095,3095
astro,2017-09-27,317,1,1,649,2150,2150
astro,2017-09-27,407,1,1,651,2037,2037
astro,2017-09-27,433,1,1,679,2101,2101
astro,2017-09-27,435,2,2,1056,3291,3291
astro,2017-09-27,517,1,1,649,2110,2110
astro,2017-09-27,538,0,1,535,1723,1723
astro,2017-05-11,242,1,1,510,2100,2100
astro,2016-09-06,202,2,2,962,2895,3025
astro,2016-09-06,208,2,2,1056,3260,3415
astro,2016-09-06,210,1,1,697,2210,2560
astro,2016-09-06,213,1,1,596,1877,2227
astro,2016-09-06,225,1,1,649,2155,2400
astro,2016-09-06,229,1,1,718,2486,2581
astro,2016-09-06,302,2,2,962,2900,3030
astro,2016-09-06,304,1,1,627,1845,1940
astro,2016-09-06,329,1,1,718,2491,2586
astro,2016-09-06,415,1,1,596,1762,2162
astro,2016-09-06,432,1,1,697,2390,2635
astro,2016-09-06,435,2,2,1056,3126,3256
astro,2016-09-06,505,1,1,627,2000,2105
astro,2016-09-06,508,2,2,1056,3131,3261
astro,2016-09-06,538,0,1,535,1835,1930
astro,2016-09-06,640,2,2,971,2894,3024
astro,2016-09-06,641,2,2,962,2965,3095
astro,2017-03-10,203,2,2,1000,3100,3100
astro,2017-03-10,204,1,1,627,1950,1950
astro,2017-03-10,321,1,1,776,2400,2400
astro,2017-03-10,403,2,2,1000,3200,3200
astro,2017-03-10,442,1,1,658,2300,2300
astro,2017-03-10,521,1,1,776,2500,2500
astro,2017-03-10,531,1,1,596,2000,2000
astro,2017-03-10,537,1,1,692,2250,2250
astro,2018-02-08,212,0,1,464,1640,1640
astro,2018-02-08,217,1,1,649,2170,2170
astro,2018-02-08,235,2,2,1056,2724,2724
astro,2018-02-08,333,1,1,679,2200,2200
astro,2018-02-08,438,0,1,535,1720,1720
astro,2018-02-08,524,1,1,697,2253,2253
astro,2018-02-08,603,2,2,971,2850,2850
astro,2018-02-08,621,1,1,776,2375,2375
astro,2017-08-29,210,1,1,697,2295,2295
astro,2017-08-29,225,1,1,649,2175,2175
astro,2017-08-29,302,2,2,962,3100,3100
astro,2017-08-29,313,1,1,596,1950,1950
astro,2017-08-29,317,1,1,649,2200,2200
astro,2017-08-29,406,0,1,535,1745,1745
astro,2017-08-29,414,0,1,464,1650,1650
astro,2017-08-29,415,1,1,596,1950,1950
astro,2017-08-29,435,2,2,1056,3300,3300
astro,2017-08-29,440,2,2,1000,3200,3200
astro,2017-08-29,513,1,1,596,1975,1975
astro,2017-08-29,519,1,1,784,2585,2585
astro,2017-08-29,539,1,1,627,2050,2050
astro,2017-08-29,608,2,2,1056,3315,3315
astro,2017-08-29,613,1,1,596,1999,1999
astro,2017-08-29,640,2,2,971,3150,3150
astro,2017-08-29,642,1,1,658,2225,2225
astro,2018-05-16,205,1,1,627,1900,1900
astro,2018-05-16,221,1,1,776,2600,2600
astro,2018-05-16,404,1,1,627,2000,2000
astro,2018-05-16,616,0,1,464,1700,1700
astro,2018-05-16,629,1,1,718,2650,2650
astro,2018-12-30,222,1,1,656,1925,1925
astro,2018-12-30,306,0,1,535,1700,1700
astro,2018-12-30,405,1,1,627,1925,1925
astro,2018-12-30,615,1,1,596,1900,1900
astro,2018-12-30,625,1,1,649,2155,2155
astro,2016-09-15,202,2,2,962,2610,2630
astro,2016-09-15,208,2,2,1056,2975,3110
astro,2016-09-15,210,1,1,697,2120,2510
astro,2016-09-15,213,1,1,596,1787,2177
astro,2016-09-15,222,1,1,656,Call,Call
astro,2016-09-15,224,1,1,697,2170,2560
astro,2016-09-15,225,1,1,649,1955,2290
astro,2016-09-15,229,1,1,718,2406,2481
astro,2016-09-15,302,2,2,962,2615,2635
astro,2016-09-15,304,1,1,627,1765,1840
astro,2016-09-15,415,1,1,596,1682,2112
astro,2016-09-15,426,0,1,464,1525,1770
astro,2016-09-15,432,1,1,697,2190,2525
astro,2016-09-15,435,2,2,1056,2841,2861
astro,2016-09-15,505,1,1,627,1825,1900
astro,2016-09-15,508,2,2,1056,2846,2866
astro,2016-09-15,538,0,1,535,1695,1800
astro,2016-09-15,641,2,2,962,2680,2700
astro,2017-08-21,210,1,1,697,2300,2300
astro,2017-08-21,225,1,1,649,2200,2200
astro,2017-08-21,302,2,2,962,3200,3200
astro,2017-08-21,317,1,1,649,2300,2300
astro,2017-08-21,406,0,1,535,1745,1745
astro,2017-08-21,415,1,1,596,2025,2025
astro,2017-08-21,440,2,2,1000,3300,3300
astro,2017-08-21,513,1,1,596,2050,2050
astro,2017-08-21,519,1,1,784,2625,2625
astro,2017-08-21,539,1,1,627,2125,2125
astro,2017-08-21,613,1,1,596,2075,2075
astro,2017-08-21,640,2,2,971,3250,3250
astro,2017-10-25,201,1,1,604,1800,1800
astro,2017-10-25,219,1,1,656,1865,1865
astro,2017-10-25,225,1,1,649,1975,1975
astro,2017-10-25,229,1,1,718,2325,2325
astro,2017-10-25,238,0,1,535,1575,1575
astro,2017-10-25,301,1,1,604,1775,1775
astro,2017-10-25,302,2,2,962,2850,2850
astro,2017-10-25,322,1,1,784,2230,2230
astro,2017-10-25,331,1,1,596,1750,1750
astro,2017-10-25,410,1,1,697,2015,2015
astro,2017-10-25,419,1,1,784,2265,2265
